,Lodging,stress minus equation,original stress equation,stress minus equation with standard thickness,Height,main stem DIAm 3,tiller Diam 3,tiller compressed 3,till.comp.flex,Flex after crushing,Root 
211,21.9607084,6.20269405,6.934554878,6.04077355,64.16666667,1.663636364,2.134545455,0.806363636,0.947272727,0.140909091,1.904166667
212,67.05195144,10.62571002,12.22539292,9.535554,67.33333333,2.078888889,1.7975,0.645,0.7525,0.1075,1.796
213,28.87693495,4.220376806,4.685649334,4.361164753,70.94444444,1.903,2.422727273,0.926363636,1.252727273,0.326363636,2.178181818
214,39.00519481,3.176166919,3.230012742,3.595220133,69.75,1.928333333,2.615714286,1.152857143,1.578571429,0.425714286,2.301428571
215,17.29993756,3.575389688,3.892788481,3.836768679,34.66666667,2.006666667,2.54875,1.0075,1.31,0.3025,2.140909091
216,,,,,,,,,,,
217,43.51679858,4.536966439,4.923675968,4.700424464,78.75,1.962,2.3525,0.935,1.088571429,0.153571429,1.852222222
218,37.86897623,2.393525102,2.646471442,2.728808572,76,2.314444444,2.924,1.126,1.664,0.538,2.1225
219,58.11385075,2.673310253,2.68749944,3.131536887,73.75,2.29,2.765,1.24,1.605,0.365,2.24
220,11.13963437,4.34379226,4.547652081,4.616856816,40.33333333,2.421666667,2.369090909,0.998181818,1.265454545,0.267272727,2.274545455
221,62.99088555,7.907849089,7.509493676,8.099535797,68.83333333,1.963636364,1.91,0.93,1.47,0.54,1.876363636
222,71.29496403,,,,69.75,2.091,,,,,1.745
223,33.34775641,4.060353661,4.44510398,4.256672084,68,2.193636364,2.446,0.958,1.246,0.288,2.26
224,50.56194125,5.967160925,6.989699692,5.651108664,68.5,2.232727273,2.19,0.76,0.9,0.14,1.766363636
225,43.25913445,2.582410713,2.844524252,2.910256545,65.66666667,2.09125,2.848333333,1.104,1.548,0.444,1.999
226,26.49943046,5.989410172,6.991063208,5.684706633,32,2.67625,2.185,0.763333333,0.92,0.156666667,2.283333333
227,,,,,,,,,,,
228,10.25982678,6.480094055,7.515630071,6.115974631,35.83333333,1.845,2.124444444,0.751111111,0.8675,0.116388889,1.874
229,31.38314295,4.093515274,4.942973987,3.999105759,60,1.885555556,2.507142857,0.82,1.121428571,0.301428571,1.823
230,57.95801557,4.888791865,5.028145811,5.150933497,66.16666667,2.14375,2.27,0.983333333,1.33,0.346666667,1.869
231,56.97777778,,,,56,2.1825,1.42,0.44,0.45,0.01,1.8375
232,51.2455329,,,,69,1.856666667,,,,,1.534
233,,,,,,,,,,,
234,41.10536002,10.00760184,11.00057006,9.323646728,28.16666667,2.388181818,1.8125,0.705,0.78,0.075,1.803636364
235,,,,,,,,,,,
236,7.152625153,4.145454779,4.578434939,4.309336113,42.66666667,2.165833333,2.434166667,0.939166667,1.16,0.220833333,2.000833333
