DNA GENERATION,LINE #,Germination 2014NACHECKED,Germination 2014 %,branch numb.2014,"stand good?1=Y. 2=bad sample, do not use lines labeled 2",Height,length,prcnt lodging bad germ lines includedNAchecked,Prcnt.Lodging,flowering time 2014,tendril length 14 node 2014,tendril length 2014,Nodes 1st flow 2014,max nodes 2014,internode length 2014,Total yield 2014,Avg.Yld.Plant 2014,Main stm.diameter 2014,Average compressed main stem thickness 2014,Tiller diameter 2014,compressed tiller thickness 2014,"white flower, 1 is white",black hilum delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late,length,tall/dwf based on grnhouse data+ field 2014 ,Afila 1=YES=DELTA=A
F7,41,10,100,4.66,1,52,52,0,0,NA,16.25,18,18,23,2.260869565,277.537,27.7537,2.466,0.862,3.684444444,0.625555556,A,B,B,A,B,52,A,A
F7,42,9,90,4,1,30.5,36,15.27777778,15.27777778,1,15,14,18,21,1.714285714,79.874,8.874888889,2.367777778,0.91,2.417142857,0.651428571,B,A,A,B,A,36,A,B
F5,43,10,100,4.66,1,42,81,48.14814815,48.14814815,1,19,21.5,16,24,3.375,142.323,14.2323,2.407,1.229,2.8425,0.86,A,B,A,NA,A,81,B,B
F7,44,7,70,4,1,40,46,13.04347826,13.04347826,2,16,17,16,20,2.3,65.121,9.303,2.224285714,0.77,2.601428571,0.602857143,B,A,A,B,NA,46,A,A
F7,45,9,90,4.8,1,36,68,47.05882353,47.05882353,3,17.5,18,18,22,3.090909091,98.839,10.98211111,2.201111111,0.982222222,2.927142857,0.832857143,A,B,B,A,B,68,B,B
F7,46,9,90,3.5,1,40,64.5,37.98449612,37.98449612,3,22.75,27,16,23,2.804347826,83.792,9.310222222,2.144444444,0.765555556,2.891428571,0.765714286,B,B,B,B,NA,64.5,B,B
F7,47,6,60,4.66,1,18.5,38,51.31578947,51.31578947,3,13,16.5,22,25,1.52,67.029,11.1715,2.113333333,0.848333333,2.9875,0.8625,B,B,B,A,B,38,A,B
F7,48,7,70,3,1,15,59,74.57627119,74.57627119,3,20,19.5,22,25,2.36,41.038,5.862571429,2.405714286,0.938571429,2.675714286,0.894285714,B,A,B,B,NA,59,NA,B
F7,49,10,100,2.25,1,43,46,6.52173913,6.52173913,3,17,18.5,20,24,1.916666667,66.322,6.6322,2.314,0.786,2.407777778,0.644444444,B,B,A,A,A,46,A,A
F7,50,10,100,3.8,1,27,31,12.90322581,12.90322581,2,13,14.5,17,23,1.347826087,79.026,7.9026,2.582,1.081,2.576666667,0.785555556,B,A,A,NA,A,31,A,B
F6,51,8,80,6,1,39,65.5,40.45801527,40.45801527,2,15.25,20,21,23.5,2.787234043,85.317,10.664625,2.02375,1.10125,2.855714286,0.795714286,A,A,B,A,NA,65.5,B,B
F6,52,6,60,3.25,2,25.5,67.5,62.22222222,NA,NA,15,16,18,20,3.375,98.432,16.40533333,2.748333333,1.116666667,2.923333333,0.806666667,NA,A,A,A,A,67.5,B,B
F7,53,10,100,3.5,1,23,67,65.67164179,65.67164179,1,15.5,17,16,23,2.913043478,95.129,9.5129,NA,NA,NA,NA,A,B,A,A,A,67,B,A
F6,54,6,60,3,1,25,83,69.87951807,69.87951807,2,18.25,22.5,14,21,3.952380952,56.432,9.405333333,2.25,0.935,3.125,0.8525,A,A,A,B,A,83,B,A
