line #,average lodging Moccasin 2015,AVERAGE HEIGHT Moccasin 2015,Yield,% GERMINATION AVG with bad germinating lines left in and adjusted for seeds planted,% germ avg with bad germ lines removed and adjusted for seeds planted,# of branch,plants harvested,% Lodging,% Lodging with bad germinating lines included,Average height,average length (Median 2015=40NA45cm),Mat time,tendril width,tendril Length,Nodes 1st flow,max nodes,runt?,main stem DIAm avg,Main stem comp. avg,tiller Diam AVG,tiller compressed avg,Root compressed avg,"avg main, side brnch+root",white flow?,black hilum LG 6 delta=A=NO MOT,Brown mottle (rerate next year) 1=no mot,np=neo,Late 2015,average length 2015,tall/dwf based on grnhouse data+ field 2015,AVERAGE HEIGHT Moccasin 2015 (43NA58),,Afila 2015,afilaNAdwf only
142,22.07439812,30.83333333,11.38,96.66666667,96.66666667,2.916666667,4,48.02390145,48.02390145,9.166666667,18.58333333,1.5,4,11.83333333,13,15,1,2.02,0.6325,2.103333333,0.55,1.57125,1.898194444,B,A,A,A,A,18.58333333,A,30.83333333,142,B,
143,23.67963168,84.16666667,33.15666667,96.66666667,96.66666667,3.026666667,3.666666667,27.55763707,27.55763707,44.66666667,62.11111111,2.333333333,18.83333333,18.16666667,19,23,1,2.380277778,0.910555556,2.716944444,0.901944444,1.968055556,2.355092593,A,A,B,A,NA,62.11111111,B,84.16666667,143,A,
144,36.11452161,65.16666667,16.009,50,50,3.08,2.5,71.15384615,71.15384615,15,52,2.833333333,5,15.16666667,17,20,1,NA,NA,2.086666667,0.88,2.55,2.318333333,B,A,B,B,B,52,B,65.16666667,144,B,
145,9.136477558,38.33333333,44.07833333,93.33333333,93.33333333,4.666666667,4,33.86939571,33.86939571,24.66666667,37.33333333,2.333333333,4.666666667,11.83333333,22,29,1,3.006666667,1.388333333,2.8,0.905,2.7325,2.846388889,A,A,A,A,B,37.33333333,A,38.33333333,145,B,
146,32.36882077,39.33333333,40.65,96.66666667,96.66666667,2.916666667,4,29.16849656,29.16849656,20.77777778,29.55555556,1.833333333,9.333333333,14.5,17,19,1,2.545,0.98375,2.474583333,0.734583333,2.34,2.453194444,A,A,A,A,NA,29.55555556,A,39.33333333,146,NA,
147,55.62969107,70.5,31.5575,86.66666667,86.66666667,2.75,4,47.48979665,47.48979665,22.83333333,44.83333333,2.833333333,5.333333333,14.33333333,15.5,21,1,1.98125,0.71375,2.1675,0.809583333,2.26375,2.1375,A,B,A,B,NA,44.83333333,,70.5,147,B,
148,27.62522565,42.5,20.477,93.33333333,93.33333333,2.193333333,3.666666667,35.31190702,35.31190702,18.55555556,28.55555556,2,11.66666667,13.66666667,20,22,NA,1.705,0.563055556,1.904444444,0.661111111,1.484166667,1.69787037,B,A,A,B,A,28.55555556,A,42.5,148,A,
149,20.32323946,37.16666667,42.17133333,88.88888889,88.88888889,2.916666667,3.333333333,19.81976027,19.81976027,23.83333333,29.83333333,2.333333333,6,10.83333333,17,25,1,2.166111111,0.982222222,2.324444444,0.871111111,2.085,2.191851852,A,A,B,B,B,29.83333333,A,37.16666667,149,B,
150,40.04446539,59,19.936,100,100,1.166666667,3.333333333,64.01780367,64.01780367,17.66666667,52.44444444,1.833333333,14.33333333,16.16666667,19,24,1,2.048333333,0.703333333,1.8975,0.63,1.484166667,1.830555556,B,B,A,NA,NA,52.44444444,B,59,150,A,
151,45.92273385,64.33333333,40.305,100,100,1.666666667,4,70.73652173,70.73652173,16.5,56.66666667,1,5.5,19,13,15,1,2.54625,1,2.318333333,0.793333333,1.9675,2.277361111,A,B,NA,B,A,56.66666667,B,64.33333333,151,B,
152,30.61550759,67.83333333,41.451,90,90,2.693333333,3.666666667,41.67314167,41.67314167,25.33333333,42.55555556,2.333333333,3.333333333,14.33333333,16,21,1,1.9,0.699583333,2.5175,0.802083333,2.322083333,2.246527778,A,B,A,B,B,42.55555556,B,67.83333333,152,B,
153,35.40002411,69.66666667,13.78833333,100,100,2.083333333,4,49.86717828,49.86717828,26,53.5,2.166666667,13.5,15.66666667,17,21,1,1.534166667,0.659166667,2.056388889,0.850555556,1.711666667,1.767407407,B,A,B,B,NA,53.5,B,69.66666667,153,A,
154,23.22916667,30.66666667,23.886,96.66666667,96.66666667,2.5,4,36.25625945,36.25625945,13.66666667,21.16666667,1,10,10.83333333,14,17,1,2.045833333,0.803055556,1.89,0.543333333,1.648055556,1.861296296,A,A,A,A,A,21.16666667,A,30.66666667,154,A,
155,15.2509368,41.5,19.73733333,83.33333333,83.33333333,2.25,3,18.62093543,18.62093543,25.27777778,31.44444444,1.5,15.66666667,15.16666667,17,20,1,2.223333333,0.733333333,2.276111111,0.696111111,1.651666667,2.05037037,B,B,A,A,A,31.44444444,A,41.5,155,A,
156,73.02637,66.66666667,13.979,100,100,2.083333333,4,61.81485353,61.81485353,14.22222222,47.61111111,1.333333333,5,15.16666667,15,19,1,2.0725,0.645833333,1.916666667,0.446666667,1.444166667,1.816898148,B,B,A,B,A,47.61111111,NA,66.66666667,156,B,
157,55.61758926,67,16.119,96.66666667,96.66666667,1.166666667,4,80.40851868,80.40851868,11.33333333,59.16666667,1,6.333333333,17.5,13,17,1,2.290833333,0.775,2.22,0.54,1.508055556,1.90462963,A,A,A,B,A,59.16666667,B,67,157,B,
158,56.24080882,61.77777778,11.43966667,96.66666667,96.66666667,2,4,60.60816377,60.60816377,16.44444444,42.22222222,1,8,15.5,13,16,NA,1.714444444,0.573611111,1.663333333,0.588333333,1.342222222,1.573333333,B,B,A,B,A,42.22222222,,61.77777778,158,B,
159,54.6906297,76,13.8405,63.7037037,90,1.25,4,70.54308252,70.54308252,15.41666667,52.41666667,1,15,14.16666667,NA,NA,2,1.769166667,0.569166667,1.53,0.3,1.71,1.705972222,B,A,A,B,NA,52.41666667,B,76,159,A,
160,7.256406579,41.16666667,24.38713333,88.88888889,88.88888889,3.125,4,50.72218387,50.72218387,19.33333333,38.16666667,3,5.333333333,13.83333333,19,24,NA,2.095,1.0025,2.513333333,1.061666667,2.096666667,2.235,A,B,NA,A,B,38.16666667,A,41.16666667,160,B,
161,24.05634479,72.72222222,21.84833333,100,100,2.333333333,4,24.12809106,24.12809106,37.22222222,51.16666667,2,16.66666667,17.5,19,23,1,1.645833333,0.51,2.15375,0.66,1.7275,1.842361111,A,B,A,NA,NA,51.16666667,B,72.72222222,161,A,
162,9.5912532,38.83333333,29.24333333,100,100,2.5,4,36.52605831,36.52605831,20.66666667,32.66666667,2.166666667,6.666666667,13.66666667,15,19,1,2.577222222,1.004722222,2.895833333,1.034166667,2.389166667,2.620740741,A,A,B,NA,NA,32.66666667,A,38.83333333,162,B,
163,50.73298355,71.5,30.798,70,95,2.665,3.5,50.56043956,50.56043956,30.25,61.66666667,2,14,14.5,15,19,2,2.159166667,0.686666667,2.2725,0.694583333,1.99125,2.140972222,B,B,NA,NA,A,61.66666667,B,71.5,163,A,
164,41.2440218,36.5,16.68233333,83.33333333,83.33333333,1.303333333,3.333333333,52.22808106,52.22808106,13.05555556,27.88888889,2.166666667,4.666666667,12.16666667,17,25,1,2.241666667,0.767222222,2.39,0.79,1.653333333,2.062962963,B,A,B,A,NA,27.88888889,A,36.5,164,B,
165,29.73595605,56.16666667,32.77433333,66.66666667,72.22222222,2.553333333,3,41.91103999,41.91103999,24.16666667,45.16666667,3,5.5,13,18,23,2,1.878611111,0.944444444,2.211944444,0.989166667,2.3625,2.151018519,B,A,B,NA,NA,45.16666667,,56.16666667,165,B,
