,# of seed,Grams,100 SEED WEIGHT,Height/ length 2013 inches,Length (cm),# of branches 2013,"Strength of base; Weak=1, very strong=4, 2013","Erectness, Fallen=1, erect=4. 2013",width of stem at base (thick or thin)=2013,"early flower, late flower, or indeterminate 2013","Bifurcation (1=no, 2=yes) 2013",White flower 2013,Afila 2013,germination 2013 %,Runt?,Does it look like a good variety,overall rating
Delta,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,A,A,,,,
Rer,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,B,B,,,,
190,NA,NA,NA,18,45.72,1,1,1,1,2,1,B,B,100,yes,1,4
191,NA,NA,NA,18,45.72,3,3,1,1,2,1,B,A,100,,1,6
192,NA,NA,NA,30,76.2,4,3,2,1,2,1,A,A,100,,1,7
193,NA,NA,NA,18,45.72,3,2,1,2,1,1,B,A,100,,1,6
194,NA,NA,NA,24,60.96,5,3,1,1,2,1,A,A,80,,1,6
195,NA,NA,NA,24,60.96,2,1,1,1,2,1,A,A,80,,1,4
196,NA,NA,NA,27,68.58,3,1,2,2,2,1,B,NA,100,,1,6
197,47,6.651,14.15106383,33,83.82,4,2,4,3,2,2,A,B,100,,3,12
198,NA,NA,NA,28,71.12,4,2,2,2,2,1,A,B,100,,1,7
199,NA,NA,NA,24,60.96,5,3,1,1,2,1,B,B,100,,1,6
200,153,19.552,12.77908497,15,38.1,5,2,4,2,2,1,B,A,100,,1,9
201,NA,NA,NA,36,91.44,4,3,1,1,2,1,B,B,80,,1,6
202,NA,NA,NA,23,58.42,4,3,1,1,2,1,B,B,100,,1,6
203,NA,NA,NA,21,53.34,5,2,1,1,1,1,B,B,80,,1,5
204,NA,NA,NA,21,53.34,4,2,1,1,1,1,B,A,100,,1,5
205,NA,NA,NA,14,35.56,3,2,1,1,1,1,A,B,80,,1,5
206,NA,NA,NA,24,60.96,3,3,1,1,2,1,B,B,100,,1,6
207,NA,NA,NA,27,68.58,4,3,2,2,2,1,B,B,100,,1,8
208,NA,NA,NA,15,38.1,7,2,1,1,2,1,A,A,100,,1,5
209,NA,NA,NA,11,27.94,2,3,1,1,1,1,NA,B,100,,1,6
210,NA,NA,NA,15,38.1,8,2,1,2,1,1,B,B,80,,1,6
211,NA,NA,NA,24,60.96,4,3,1,1,2,1,B,A,100,,1,6
212,NA,NA,NA,30,76.2,3,1,1,1,1,1,B,B,100,,1,4
213,NA,NA,NA,27,68.58,3,1,1,1,2,2,B,B,100,,1,4
214,NA,NA,NA,18,45.72,6,3,1,1,2,1,B,B,100,,1,6
215,NA,NA,NA,12,30.48,8,3,2,2,2,1,A,B,80,,1,8
216,NA,NA,NA,18,45.72,4,1,1,3,2,1,B,A,100,,1,6
217,NA,NA,NA,0,0,5,1,2,1,2,1,B,B,100,,1,5
218,NA,NA,NA,0,0,4,2,2,2,2,1,B,B,100,,1,7
219,NA,NA,NA,0,0,2,3,1,1,1,1,B,B,100,,1,6
220,NA,NA,NA,0,0,6,3,2,2,2,1,B,B,100,,1,8
221,NA,NA,NA,30,76.2,5,3,1,1,1,1,A,B,100,,1,6
222,NA,NA,NA,22,55.88,1,1,1,2,1,1,B,B,80,,1,5
223,NA,NA,NA,48,121.92,4,1,2,2,2,1,B,B,80,,1,6
224,NA,NA,NA,27,68.58,2,1,1,1,1,1,B,B,100,,1,4
225,NA,NA,NA,24,60.96,4,1,2,1,2,1,B,B,100,,1,5
226,NA,NA,NA,9,22.86,2,1,1,1,2,1,A,B,100,yes,1,4
227,NA,NA,NA,18,45.72,5,3,2,2.5,2,1,B,B,100,,2,9.5
228,NA,NA,NA,15,38.1,3,1,1,1,1,1,A,A,100,,1,4
229,NA,NA,NA,30,76.2,6,2,1,1,2,1,B,B,80,,1,5
230,NA,NA,NA,24,60.96,3,1,1,2,1,1,A,B,80,,1,5
231,NA,NA,NA,15,38.1,4,1,1,1,1,1,B,B,100,,1,4
232,NA,NA,NA,24,60.96,2,1,1,1,2,1,B,A,80,,1,4
233,NA,NA,NA,20,50.8,3,3,1,1,2,1,A,B,100,,1,6
234,NA,NA,NA,8,,2,2,1,NA,1,1,B,B,100,yes,1,4
235,NA,NA,NA,24,60.96,4,3,1,1,1,1,A,B,100,,1,6
236,NA,NA,NA,16,40.64,3,2,1,1,2,1,B,A,80,,1,5
237,NA,NA,NA,16,40.64,4,3,1,2.5,1,1,B,B,100,yes,1,7.5
238,NA,NA,NA,10,25.4,1,1,1,1,1,1,A,B,80,yes,1,4
239,NA,NA,NA,24,60.96,4,2,1,1,1,1,B,B,80,,1,5
240,NA,NA,NA,28,71.12,7,3,2,2.5,2,1,B,B,80,,2,9.5
241,NA,NA,NA,24,60.96,4,3,2,2.5,2,1,A,B,100,,1,8.5
242,NA,NA,NA,15,38.1,1,2,2,4,2,1,B,B,80,,2,10
243,NA,NA,NA,18,45.72,1,1,1,2,NA,1,NA,B,40,yes,1,5
244,NA,NA,NA,14,35.56,4,1,1,1,1,1,NA,A,100,,1,4
245,NA,NA,NA,18,45.72,1,3,2,4,2,1,A,B,100,,3,
246,NA,NA,NA,15,38.1,4,3,1,1,2,1,B,A,100,,1,6
247,NA,NA,NA,19,48.26,5,3,2,3,2,1,B,B,80,,1,9
248,NA,NA,NA,21,53.34,3,3,2,1,1,1,B,A,100,,1,7
249,NA,NA,NA,15,38.1,3,3,2,2.5,2,1,A,A,100,,1,8.5
250,NA,NA,NA,12,30.48,3,3,1,3,1,1,A,B,60,,1,8
251,NA,NA,NA,18,45.72,3,3,1,1,1,1,B,B,60,,1,6
252,NA,NA,NA,14,35.56,3,3,2,3,1,1,B,B,100,,1,9
253,NA,NA,NA,25,63.5,5,3,2,2.5,2,1,A,B,100,,1,8.5
254,NA,NA,NA,24,60.96,5,3,1,1,NA,1,B,B,20,,1,6
255,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,100,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
