Line name,% GerminationNAMoccasinNA2016,Tendril Length 2016,Avg branch number 2016,AVG length moc 2016,%lodging 2016,Mat timeNA MoccasinNA2016,white flow moc 2016 checked,afila 2016 moc checked,Main stem diam avg 2016,avg branch diam 2016,avg root diam 2016
221,94.11764706,17,1.2,70.5,71.63120567,1,A,B,1.92,,1.385
222,100,17,1,53,43.39622642,1,B,B,1.798,,1.32
223,100,18,2,60.66666667,18.68131868,3,B,B,1.846,2.1775,1.64
224,,,,,,,,,,,
225,100,17,1.4,52,24.03846154,3,B,B,1.904,2.095,1.442
226,100,12.5,1.2,31.33333333,35.10638298,2.5,A,B,2.05,2.16,1.476
227,100,12.5,1,31.66666667,20.52631579,3,seg,A,1.832,,1.204
228,88.23529412,11,1.6,36,8.333333333,4,A,A,1.8575,1.83,1.18
229,70.58823529,19.5,1.25,72,42.12962963,3,B,B,1.72,2.06,1.2875
230,76.47058824,17.5,1,59,56.49717514,3,A,B,1.92,,1.4925
231,88.23529412,17,1,61,28.96174863,1,B,B,1.6475,,1.115
232,88.23529412,16,1,80,47.5,3,A,A,1.876666667,1.9,1.34
233,94.11764706,13,1.2,25,25.33333333,2,A,B,2.2025,,1.57
234,100,13,1.4,26.66666667,23.75,4,B,B,2.158,2.23,1.536
235,100,16,1.2,56.66666667,25.88235294,3,A,B,1.99,2.063333333,1.37
236,82.35294118,15,2.25,34.33333333,26.21359223,3,B,A,1.976666667,1.945,1.396666667
237,94.11764706,15,1.2,38,14.03508772,4,A,A,1.9975,1.95,1.222
238,94.11764706,17.5,1,50.33333333,23.8410596,1,A,B,1.845,1.91,1.292
239,,,,,,,,,,,
240,,14,1,50,50,3,B,B,,,
241,94.11764706,16,1.25,69.5,51.07913669,2,A,B,1.735,,1.368
242,88.23529412,16,1.5,45,16.2962963,3,B,A,1.925,2.165,1.363333333
243,,,,,,,,,,,
244,,,,,,,,,,,
245,58.82352941,11.5,,,,3,A,B,,,
246,94.11764706,15,2,67.5,41.48148148,3,A,A,1.563333333,1.69,1.365
247,100,14.5,1.5,43.66666667,32.82442748,3,B,A,2.2,2.263333333,1.554
248,94.11764706,18,1.4,59,32.20338983,3,A,A,1.74,1.936666667,1.256
249,100,12,1,24.33333333,19.17808219,4,A,A,2.068,,1.3725
250,,,,,,,,,,,
251,88.23529412,15.5,1,54.66666667,57.92682927,1,seg,seg,1.845,2.04,1.2
252,94.11764706,12.5,1.6,24.5,59.18367347,1,B,B,1.924,,1.244
253,70.58823529,15,2.75,34.66666667,21.15384615,3,A,B,2.363333333,1.993333333,1.723333333
254,94.11764706,13,1.6,63,29.62962963,3,B,B,2.276666667,1.903333333,1.432
255,94.11764706,14,1,51.66666667,48.38709677,2,B,B,1.78,1.31,1.27
Delta,,14,1.2,41,14.63414634,2,A,A,,,
Delta,,16,1,33.66666667,16.83168317,2,A,A,,,
Delta,,16,1.2,35.5,29.57746479,2,A,A,,,
Delta,,14,1,33.5,2.985074627,2,A,A,,,
Delta,,14.5,1,35,27.61904762,2,A,A,,,
Delta,,12,1,33.66666667,29.7029703,1.5,A,A,,,
Delta,,14,1,34.5,13.04347826,2,A,A,,,
RER,,12.5,1.25,53,38.67924528,3,B,B,,,
RER,,14,1,54.5,28.44036697,3,B,B,,,
RER,,18,2.2,59.5,31.09243697,3,B,B,,,
RER,,14,2,58,37.93103448,3,B,B,,,
RER,,15,2.4,48,27.08333333,3,B,B,,,
RER,,14,1.4,54,46.2962963,3,B,B,,,
RER,,16,1.2,51,39.21568627,3,B,B,,,
Delta,,14.35714286,1.057142857,35.26190476,19.19912359,1.928571429,,,,,
RER,,14.78571429,1.635714286,54,35.53405709,3,,,,,
,,,,34.03333333,19.71705228,,,,2.438125,,1.844117647
,,,,51.49206349,36.5891137,,,,1.896615385,,2.050597015
,,,,58.83333333,31.9921811,,,,2.2925,,2.299166667
,,,,28.16666667,27.80952381,,,,2.02,,1.9925
,,,,29.77777778,35.07337526,,,,2.73625,,1.864
,,,,23,29.93146284,,,,2.684545455,,1.903636364
,,,,24,,,,,,,
,,,,30,26.19191097,,,,2.141,,1.659090909
,,,,29.66666667,20.54136693,,,,2.048333333,,1.550833333
,,,,51.5,57.6624464,,,,2.222222222,,1.911818182
,,,,26.5,31.46183319,,,,2.36,,1.90875
,,,,41.83333333,50.62627423,,,,1.848,,1.621818182
,,,,25.5,14.44745967,,,,2.535454545,,2.453636364
,,,,54.16666667,49.01420817,,,,2.038333333,,1.704166667
,,,,27.05555556,43.29448329,,,,2.778333333,,2.008333333
,,,,66.33333333,68.76655226,,,,2.1875,,2.016666667
,,,,27.33333333,26.20257725,,,,2.488888889,,1.936
,,,,36.72222222,36.02550033,,,,1.835,,1.767
